mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,params
1.250251520547991,NaN,2.346244642217677,4.060474533183768,NaN,NaN,"{numIters=100, lambda=0.01, seed=42, gamma=0.1, numFactors=12}"
0.9697704457864845,1.010752057132539,0.8809588502976443,0.9702130107747902,0.9579235909978645,0.04744943611896437,"{numIters=100, lambda=0.1, seed=42, gamma=0.1, numFactors=4}"
1.5492376356868456,1.5531388127418204,1.6035541209946147,1.6130341231350525,1.5797411731395832,0.02878206203875206,"{numIters=100, lambda=1.0, seed=42, gamma=0.001, numFactors=12}"
1.5215345954100392,NaN,1.7227263726401032,4.060474533183768,NaN,NaN,"{numIters=100, lambda=1.0, seed=42, gamma=1.0, numFactors=12}"
1.231585921277088,1.2459424261167322,1.2386427355483391,1.2752494927656675,1.2478551439269567,0.016610726289689622,"{numIters=75, lambda=1.0, seed=42, gamma=0.01, numFactors=8}"
4.104597296772132,NaN,3.1857513848697794,4.082266909448943,NaN,NaN,"{numIters=25, lambda=0.001, seed=42, gamma=1.0, numFactors=8}"
1.4228499959160081,NaN,2.5658923175760378,2.7655450880549552,NaN,NaN,"{numIters=25, lambda=1.0, seed=42, gamma=1.0, numFactors=4}"
1.232005939160302,1.227240434881201,1.2177505439454024,1.2599580666723331,1.2342387461648094,0.015710713285354422,"{numIters=75, lambda=1.0, seed=42, gamma=0.1, numFactors=12}"
1.4228499959160081,NaN,2.5658923175760378,2.7655450880549552,NaN,NaN,"{numIters=50, lambda=1.0, seed=42, gamma=1.0, numFactors=4}"
1.278563820315006,NaN,2.3554302037661876,4.060474533183768,NaN,NaN,"{numIters=75, lambda=0.01, seed=42, gamma=0.1, numFactors=12}"
1.3113849584403594,1.3304886647838101,1.3540580750376532,1.3831690884289123,1.3447751966726837,0.026829441652553025,"{numIters=25, lambda=1.0, seed=42, gamma=0.01, numFactors=12}"
0.92427004450217,0.9392160261553181,0.8840180958034755,0.9585725092060159,0.9265191689167448,0.027386249213100643,"{numIters=75, lambda=0.01, seed=42, gamma=0.01, numFactors=8}"
4.104597296772132,NaN,3.1857513848697794,4.082266909448943,NaN,NaN,"{numIters=50, lambda=1.0, seed=42, gamma=1.0, numFactors=8}"
0.9308762187673956,0.9443194224461056,0.8890854937170267,0.9606647485840748,0.9312364708786506,0.026523677194571556,"{numIters=100, lambda=0.01, seed=42, gamma=0.01, numFactors=8}"
1.5215345954100392,NaN,1.7227263726401032,4.060474533183768,NaN,NaN,"{numIters=50, lambda=0.01, seed=42, gamma=1.0, numFactors=12}"
1.0230329159641025,1.0339771097446573,0.9923654172085365,1.0784911217307172,1.0319666411620032,0.030889470943327547,"{numIters=75, lambda=0.01, seed=42, gamma=0.001, numFactors=8}"
