mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,params
5.1684295220731125,5.161245698440223,5.441936841603186,5.170244344190772,5.235464101576824,0.11925457574122231,"{numIters=100, seed=42, ratings=[D@2aae9190, learningRate=0.01, regularization=0.01, numFactors=8}"
6.936368487052308,6.936687807829833,6.937454010091113,6.922881569668721,6.9333479686604935,0.006055640781892398,"{numIters=50, seed=42, ratings=[D@2aae9190, learningRate=1.0, regularization=0.01, numFactors=12}"
5.88290982852974,5.890272837312619,5.904282104922277,5.85879896439965,5.884065933791072,0.01648465610904806,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.1, regularization=0.001, numFactors=4}"
6.8055779826853895,6.8106200820116625,6.826507721770339,6.777004273792218,6.804927515064903,0.01787624926536995,"{numIters=50, seed=42, ratings=[D@2aae9190, learningRate=0.1, regularization=1.0, numFactors=12}"
6.586022546532541,6.546596685346312,6.559678052695648,6.515452431030273,6.551937428901193,0.025403696148543833,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.1, regularization=0.001, numFactors=8}"
7.1740400229908765,7.169242443586896,7.1712496638545495,7.17064594031801,7.171294517687583,0.0017443818357647926,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=1.0, regularization=0.1, numFactors=12}"
1.116883526979316,1.1153332088225356,1.1114994998207468,1.1050474435933972,1.112190919803999,0.004566230840160363,"{numIters=50, seed=42, ratings=[D@2aae9190, learningRate=0.001, regularization=0.01, numFactors=12}"
1.0237704111322325,1.0222905020608795,1.0233809125029225,1.0206859220717315,1.0225319369419414,0.0011958929222541273,"{numIters=100, seed=42, ratings=[D@2aae9190, learningRate=0.001, regularization=0.1, numFactors=4}"
5.396697208495987,5.516475679797924,5.022037629851894,5.510565788076411,5.3614440765555536,0.20168763114431637,"{numIters=100, seed=42, ratings=[D@2aae9190, learningRate=0.01, regularization=0.1, numFactors=12}"
4.985696523827559,4.319052377805265,4.462332555054984,4.69700052294553,4.6160204949083345,0.2525015726339647,"{numIters=25, seed=42, ratings=[D@2aae9190, learningRate=0.01, regularization=0.01, numFactors=4}"
1.099095331430296,1.103865413748531,1.1069576618210233,1.0938819983166446,1.1009501013291239,0.004949446462464201,"{numIters=50, seed=42, ratings=[D@2aae9190, learningRate=0.001, regularization=1.0, numFactors=12}"
4.766324157442372,4.796933485137289,4.315370640730898,5.064560115627844,4.735797099734601,0.26903210167283603,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.01, regularization=1.0, numFactors=4}"
6.938180458502034,6.937644291204642,6.939018521794608,6.924164071093934,6.934751835648805,0.006132436765845146,"{numIters=25, seed=42, ratings=[D@2aae9190, learningRate=1.0, regularization=0.001, numFactors=12}"
5.079324527859804,5.716986136966536,5.409993948227792,5.53077462377663,5.434269809207691,0.23228063382139638,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.01, regularization=0.001, numFactors=12}"
6.914579052468853,6.915359510800629,6.930377690653562,6.906649430794326,6.916741421179342,0.008578776571278804,"{numIters=25, seed=42, ratings=[D@2aae9190, learningRate=1.0, regularization=1.0, numFactors=4}"
7.1740400229908765,7.169242443586896,7.1712496638545495,7.17064594031801,7.171294517687583,0.0017443818357647926,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=1.0, regularization=0.001, numFactors=8}"
6.8248466386488476,6.833930395291178,6.851093895039808,6.818010737194796,6.831970416543658,0.01240130845416202,"{numIters=50, seed=42, ratings=[D@2aae9190, learningRate=0.1, regularization=0.01, numFactors=12}"
1.0746580510133503,1.0799268125672061,1.0902201071431543,1.076303008892276,1.0802769949039965,0.006048826413798585,"{numIters=50, seed=42, ratings=[D@2aae9190, learningRate=0.001, regularization=1.0, numFactors=8}"
5.310123420157797,4.889803744797647,5.030517649937406,5.441041761975673,5.16787164421713,0.2185436783726815,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.01, regularization=0.1, numFactors=12}"
1.0578006624248095,1.0598709523115897,1.0561225285213656,1.0579923038386816,1.0579466117741116,0.0013279453296781768,"{numIters=100, seed=42, ratings=[D@2aae9190, learningRate=0.001, regularization=0.001, numFactors=12}"
7.1740400229908765,7.169242443586896,7.1712496638545495,7.17064594031801,7.171294517687583,0.0017443818357647926,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=1.0, regularization=0.001, numFactors=4}"
6.569890176034747,6.536791807668055,6.554439827518501,6.510314289608805,6.542859025207527,0.02214028591206418,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.1, regularization=0.1, numFactors=8}"
6.809041335992288,6.812405717123789,6.828937463850163,6.779581633595806,6.807491537640511,0.017786522493868195,"{numIters=25, seed=42, ratings=[D@2aae9190, learningRate=0.1, regularization=1.0, numFactors=12}"
5.888480436513189,5.887337365429237,5.905311696626405,5.851760786085163,5.883222571163498,0.019508652336311084,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.1, regularization=0.1, numFactors=4}"
4.844188238943042,4.873321569006516,4.776289090290668,5.037244651273664,4.882760887378472,0.09588851185228388,"{numIters=25, seed=42, ratings=[D@2aae9190, learningRate=0.01, regularization=1.0, numFactors=8}"
1.0767042541819025,1.0642330076796176,1.0593896745988354,1.0562314212231274,1.0641395894208707,0.007793913371801283,"{numIters=75, seed=42, ratings=[D@2aae9190, learningRate=0.001, regularization=0.01, numFactors=8}"
