mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,numFactors,learningRate,regularization,numIters,ratings,seed
5.881208027951725,5.602181786012347,5.887978357744487,5.857085981224116,5.807113538233169,0.11887323139381636,8,0.01,1.0,25,[D@2ea6137,42
1.1753870491838005,1.1732793669193395,1.1725023921871047,1.192448986717329,1.1784044487518934,0.008177017828958565,12,0.001,1.0,75,[D@2ea6137,42
6.010284851474616,6.040555435571656,4.75697488794388,5.683699991304931,5.622878791573771,0.519140159987516,8,0.01,0.001,25,[D@2ea6137,42
5.53827372498312,5.560921491092647,5.542748873120974,5.527692584032731,5.542409168307368,0.012005220098641647,4,0.1,0.001,75,[D@2ea6137,42
6.0100003502619606,5.997490174677514,6.0152342175231475,6.109679434739753,6.033101044300594,0.0446801115758627,12,0.1,1.0,50,[D@2ea6137,42
6.024990425042436,5.987086266666326,5.996912360414311,6.070938006170172,6.019981764573311,0.03254203600027345,12,0.1,0.001,50,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,8,1.0,0.01,100,[D@2ea6137,42
5.270185121412053,5.2652628365788905,5.2660036632055895,5.281906649491558,5.270839567672023,0.006659476360815544,4,1.0,0.001,25,[D@2ea6137,42
5.278508865298214,5.266573001441805,5.27267034432055,5.2853981196946345,5.2757875826888005,0.0069712531725432195,4,1.0,1.0,25,[D@2ea6137,42
4.605068974942171,5.104907569607866,5.991740854813448,5.96946744238104,5.417796210436132,0.5899530625054066,4,0.01,0.001,25,[D@2ea6137,42
5.940056889941058,5.966845956441204,5.980508634748278,5.940890384882372,5.957075466503229,0.01729280676253238,8,0.1,0.001,75,[D@2ea6137,42
1.1723113023759812,1.1772583901709262,1.1659388823586596,1.1810767793373045,1.174146338560718,0.005666691488213641,8,0.001,0.001,75,[D@2ea6137,42
5.283185422215077,5.295456735095356,5.267900219512934,5.287638040297825,5.283545104280298,0.010044038835174107,8,1.0,0.001,25,[D@2ea6137,42
1.1621083661301717,1.1519608968897708,1.1511825160936127,1.1513282464082026,1.1541450063804395,0.0046069490503917706,4,0.001,1.0,75,[D@2ea6137,42
6.081738520607095,6.049232903535227,6.0565882094915136,6.125665397236025,6.078306257717465,0.02988144100705561,12,0.1,0.01,25,[D@2ea6137,42
1.230814939315643,1.2208456123951965,1.2286123212588778,1.2266548741431105,1.2267319367782068,0.003703427767204568,12,0.001,1.0,50,[D@2ea6137,42
5.923983030426934,5.272353596888774,5.933002139392075,5.384332749295979,5.62841787900094,0.3026919448691298,12,0.01,1.0,25,[D@2ea6137,42
6.062929013951492,6.052701394587178,6.069161834130852,6.1551222389259195,6.084978620398861,0.04092157865509231,12,0.1,1.0,75,[D@2ea6137,42
5.92984303318169,5.769117018498824,5.568974407826146,5.939450664003621,5.801846280877571,0.15051465770003813,12,0.01,0.001,25,[D@2ea6137,42
5.343135092168074,5.372894514135377,5.33686583716148,5.362604456950195,5.353874975103781,0.014513808746278488,12,1.0,0.001,25,[D@2ea6137,42
1.1979671854274658,1.204208824578509,1.2016634026081021,1.206749129106198,1.2026471354300687,0.003245569572788343,8,0.001,1.0,50,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,8,1.0,0.1,100,[D@2ea6137,42
5.537282773417301,5.560758657092818,5.54252496579424,5.527771837972906,5.542084558569316,0.01200861176100564,4,0.1,0.01,25,[D@2ea6137,42
5.813546068089234,5.831616606240835,5.091992245711449,4.98430950439046,5.430366106107995,0.3941104567428576,12,0.01,0.1,100,[D@2ea6137,42
5.738744234014221,5.413783279854238,5.724555451602679,4.963530202320209,5.460153291947837,0.3147642316895423,8,0.01,0.01,100,[D@2ea6137,42
1.2396027436983719,1.2330614304257048,1.2364037500924934,1.2477139348425368,1.2391954647647767,0.005434847207599294,12,0.001,0.01,25,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,4,0.1,0.1,100,[D@2ea6137,42
6.062890420941711,6.052685128376863,6.069136942901264,6.155014268252908,6.084931690118187,0.04088612261117054,12,0.1,1.0,25,[D@2ea6137,42
5.862261374079405,5.44245129569296,5.6866121792731255,5.391745808384563,5.595767664357513,0.19000161172127014,4,0.01,1.0,50,[D@2ea6137,42
5.52961831111022,5.633057112555054,5.845271099908912,4.999597340559264,5.501885966033361,0.31152133397677,12,0.01,0.1,75,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,8,1.0,1.0,100,[D@2ea6137,42
5.334736772423498,5.2364157795867285,5.743977311605918,5.809991469441557,5.531280333264425,0.24924605229989483,8,0.01,0.1,75,[D@2ea6137,42
5.58340134497848,5.852851652915356,5.243204051652736,5.722961351529815,5.600604600269096,0.22728333324931224,4,0.01,1.0,75,[D@2ea6137,42
5.773641221539592,5.404372477029274,5.451838426683607,5.0549169055042436,5.421192257689179,0.25475478328821927,12,0.01,1.0,50,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,12,1.0,1.0,100,[D@2ea6137,42
5.257541990671893,5.27448157641926,5.2349152879743155,5.267886949609268,5.258706451168684,0.015004262250095669,12,1.0,0.001,50,[D@2ea6137,42
5.27392636452222,5.263456346343078,5.265278828372365,5.279919526676791,5.270645266478613,0.006656889988172985,4,1.0,0.1,25,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,4,1.0,0.001,75,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,8,0.1,0.01,100,[D@2ea6137,42
5.270177518474305,5.268699921200344,5.270751684521388,5.265730644681928,5.268839942219492,0.0019449425395883855,8,1.0,0.1,25,[D@2ea6137,42
6.711755590307432,6.707171655649986,6.7090887018529015,6.7078729474777985,6.7089722238220295,0.0017472228211438308,8,1.0,0.001,75,[D@2ea6137,42
5.569071956420913,5.513657906758411,5.510569843689151,5.503607423668795,5.524226782634317,0.026146035525158425,4,0.1,1.0,50,[D@2ea6137,42
5.340207364415974,5.367061973738115,5.335346566333903,5.351222929901806,5.348459708597449,0.01218334257145797,12,1.0,0.01,25,[D@2ea6137,42
