mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,numFactors,alpha,beta,numIters,seed
1.2447126348264292,1.2419738240344658,1.2393054060721387,1.2378333289849597,1.2409562984794982,0.002627917674261448,12,0.4,5.0,100,42
1.229389368316518,1.2281631059546998,1.227804253864385,1.2304329483584282,1.2289474191235077,0.0010397223371454286,4,0.8,25.0,100,42
1.2379399316247726,1.2395710641779263,1.2308622332608692,1.2397056258249246,1.2370197137221233,0.0036223224453167816,4,0.4,15.0,50,42
1.2486413630525919,1.2560175777342917,1.2526958412074707,1.2522370292817673,1.2523979528190303,0.0026138231136260764,8,0.4,5.0,100,42
1.2292021180171122,1.2322197320057733,1.237822767740776,1.2361559683037486,1.2338501465168525,0.0033675270568337048,8,0.4,15.0,50,42
1.2438331723050016,1.2430643330108369,1.2445668218425254,1.2461256806578824,1.2443975019540616,0.0011303846956851075,4,0.6,5.0,100,42
1.2377840029390723,1.2491372587626792,1.240512453479569,1.2501601775400701,1.2443984731803477,0.005350366613880656,4,0.4,15.0,75,42
1.2279477810920505,1.2303562224552147,1.2289663906836048,1.2259850563316925,1.2283138626406407,0.0015932969735627074,12,0.4,15.0,50,42
1.2696178536728153,1.2727550188533263,1.2729171960194894,1.2653988048169957,1.2701722183406565,0.003053627261076421,12,0.2,5.0,100,42
1.2388344935691977,1.2406853775831759,1.2403811435692413,1.239543764352932,1.2398611947686367,7.253450021844555E-4,12,0.2,25.0,25,42
1.2672989295722183,1.273176308773231,1.2789713222769403,1.2761436203386034,1.2738975452402483,0.004325794075694082,8,0.2,5.0,100,42
1.229813216592125,1.2320539434279407,1.2337346726931708,1.231560422612057,1.2317905638313231,0.0013974794420490801,8,0.6,15.0,50,42
1.230478314380224,1.231088406927615,1.2388104502350616,1.2254168451265743,1.2314485041673686,0.004786702908400888,8,0.8,25.0,100,42
1.2439425466110463,1.247850309115144,1.2543221137196232,1.2511097762346193,1.2493061864201083,0.0038503465305570615,8,0.2,15.0,50,42
