mae_fold_0,mae_fold_1,mae_fold_2,mae_fold_3,mae_avg,mae_std,numFactors,lambda,gamma,numIters,seed
2.4098607588453747,2.0404164365088273,2.0299026927961266,1.9745297363444618,2.1136774061236974,0.17282362736072307,4,0.1,0.01,25,42
2.6786131083247087,2.6657307484276243,2.693719393418523,2.656407599981318,2.6736177125380434,0.0140305357201735,12,1.0,0.001,25,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.01,1.0,50,42
2.695323888147084,2.7115587574915407,2.691573877296105,2.703523053611723,2.700494894136613,0.007712046851445842,8,1.0,0.001,25,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.01,1.0,75,42
2.4496377771499778,2.5920150303255607,2.5495370602565615,2.6025482110440135,2.548434519694028,0.0603936346634188,8,1.0,0.01,100,42
2.703099938285596,2.6689187154003102,2.6898520635010073,2.675382969741914,2.684313421732207,0.013232155083830115,4,1.0,0.001,25,42
0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,1.0,25,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.1,0.1,100,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.01,0.1,25,42
2.633765150040302,2.817345007565636,2.7360050659784494,2.8177450207582417,2.751215061085657,0.07554010674999699,8,1.0,0.01,50,42
0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0,100,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.001,0.1,50,42
2.757928156205512,2.6943345133122727,2.7963614651307136,2.6138904816769046,2.7156286540813506,0.069121506810786,12,1.0,0.01,50,42
1.7995753850760268,1.8083901164322138,1.8081604833689746,1.7709094561168521,1.796758860248517,0.015341183431028476,4,0.01,0.001,25,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.01,1.0,100,42
1.7921607027152973,1.7722350122364408,1.7896756413000057,1.787481122620429,1.7853881197180432,0.007772316568155057,8,0.01,0.001,25,42
1.9934762356731213,1.9906481547443646,1.9869353733949857,1.9924619421440886,1.99088042648914,0.002492830277295576,8,1.0,0.001,75,42
1.5861537370513001,1.5842133540371195,1.5764277243458862,1.5862262246765086,1.5832552600277037,0.004023710589062507,8,0.1,0.001,100,42
2.5294416052409945,2.6892090947663525,2.6310722500263464,2.6956105264748245,2.6363333691271293,0.06663923826466588,8,1.0,0.01,75,42
1.784337165959129,1.8007638541957691,1.8044147047337946,1.8011391698992438,1.7976637236969841,0.007824040220916251,12,0.01,0.001,25,42
2.4488463970703322,2.333452143902045,2.3891024142228527,2.2696921916471697,2.3602732867106,0.06633366972428507,12,0.01,0.01,75,42
1.9889733541610117,1.9822547699061013,1.9848950523476052,1.9844589810952618,1.985145539377495,0.00242604720588333,4,1.0,0.001,75,42
2.13874377686111,2.1341238490255283,2.1407284957631054,2.135303187117894,2.1372248271919094,0.002640628131561941,12,1.0,0.001,50,42
0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.1,1.0,75,42
2.4658717792512124,2.3243750220679673,2.418832333418934,2.2445269452841123,2.3634015200055565,0.0854794729189667,12,0.1,0.01,25,42
0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.001,1.0,100,42
0.0,0.0,0.0,0.0,0.0,0.0,8,0.001,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.001,0.1,50,42
0.0,0.0,0.0,0.0,0.0,0.0,12,0.1,1.0,50,42
2.2587719259451515,2.3631096906925486,2.2436351974340836,2.2452808289074544,2.2776994107448094,0.04966009635113583,8,0.01,0.01,75,42
0.0,0.0,0.0,0.0,0.0,0.0,4,0.001,0.1,75,42
0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,1.0,100,42
